,iid,id,gender,idg,condtn,wave,round,position,positin1,order,partner,pid,match,int_corr,samerace,age_o,race_o,pf_o_att,pf_o_sin,pf_o_int,pf_o_fun,pf_o_amb,pf_o_sha,dec_o,attr_o,sinc_o,intel_o,fun_o,amb_o,shar_o,like_o,prob_o,met_o,age,field,field_cd,race,imprace,imprelig,from,zipcode,goal,date,go_out,career,career_c,sports,tvsports,exercise,dining,museums,art,hiking,gaming,clubbing,reading,tv,theater,movies,concerts,music,shopping,yoga,exphappy,attr1_1,sinc1_1,intel1_1,fun1_1,amb1_1,shar1_1,attr4_1,sinc4_1,intel4_1,fun4_1,amb4_1,shar4_1,attr2_1,sinc2_1,intel2_1,fun2_1,amb2_1,shar2_1,attr3_1,sinc3_1,fun3_1,intel3_1,amb3_1,dec,attr,sinc,intel,fun,amb,shar,like,prob,met,match_es,satis_2,length,numdat_2,attr1_2,sinc1_2,intel1_2,fun1_2,amb1_2,shar1_2,attr4_2,sinc4_2,intel4_2,fun4_2,amb4_2,shar4_2,attr2_2,sinc2_2,intel2_2,fun2_2,amb2_2,shar2_2,attr3_2,sinc3_2,intel3_2,fun3_2,amb3_2
7210,488,8.0,1,16,2,19,15,13,14.0,1,5,470.0,1,0.56,1,29.0,4.0,10.0,20.0,25.0,25.0,10.0,10.0,1,5.0,5.0,5.0,8.0,5.0,5.0,7.0,7.0,2.0,29.0,Business,8.0,4.0,1.0,1.0,India,"10,027",3.0,2.0,3.0,Management Consulting,7.0,3.0,3.0,3.0,9.0,5.0,1.0,1.0,1.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,3.0,5.0,15.0,20.0,20.0,20.0,5.0,20.0,20.0,20.0,20.0,20.0,10.0,10.0,20.0,20.0,20.0,20.0,10.0,10.0,5.0,10.0,7.0,10.0,8.0,1,8.0,8.0,8.0,8.0,8.0,8.0,8.0,5.0,0.0,4.0,7.0,3.0,3.0,10.0,20.0,20.0,20.0,20.0,10.0,30.0,5.0,10.0,10.0,10.0,35.0,20.0,20.0,20.0,20.0,10.0,10.0,6.0,8.0,8.0,8.0,8.0
7220,488,8.0,1,16,2,19,15,11,14.0,14,16,480.0,1,0.11,0,26.0,2.0,16.0,18.0,18.0,20.0,12.0,16.0,1,7.0,9.0,9.0,8.0,8.0,7.0,7.0,10.0,2.0,29.0,Business,8.0,4.0,1.0,1.0,India,"10,027",3.0,2.0,3.0,Management Consulting,7.0,3.0,3.0,3.0,9.0,5.0,1.0,1.0,1.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,3.0,5.0,15.0,20.0,20.0,20.0,5.0,20.0,20.0,20.0,20.0,20.0,10.0,10.0,20.0,20.0,20.0,20.0,10.0,10.0,5.0,10.0,7.0,10.0,8.0,1,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,0.0,4.0,7.0,3.0,3.0,10.0,20.0,20.0,20.0,20.0,10.0,30.0,5.0,10.0,10.0,10.0,35.0,20.0,20.0,20.0,20.0,10.0,10.0,6.0,8.0,8.0,8.0,8.0
7252,491,11.0,1,22,2,19,15,10,12.0,15,2,467.0,1,0.61,0,24.0,2.0,20.0,20.0,20.0,20.0,20.0,0.0,1,9.0,10.0,10.0,10.0,10.0,9.0,8.0,5.0,2.0,29.0,MBA,8.0,3.0,3.0,3.0,New Jersey,"7,201",2.0,4.0,1.0,Investment Banker,7.0,9.0,2.0,9.0,9.0,9.0,8.0,9.0,7.0,9.0,8.0,2.0,7.0,8.0,8.0,9.0,9.0,6.0,5.0,30.0,10.0,25.0,20.0,8.0,7.0,40.0,10.0,10.0,20.0,10.0,10.0,50.0,10.0,10.0,20.0,5.0,5.0,7.0,7.0,7.0,7.0,7.0,1,7.0,7.0,8.0,7.0,6.0,7.0,5.0,6.0,0.0,2.5,8.0,3.0,3.0,30.0,20.0,20.0,20.0,5.0,5.0,40.0,10.0,10.0,20.0,10.0,10.0,30.0,20.0,10.0,20.0,10.0,10.0,8.0,7.0,8.0,8.0,8.0
7254,491,11.0,1,22,2,19,15,5,12.0,10,4,469.0,1,-0.22,0,25.0,4.0,20.0,10.0,20.0,20.0,10.0,20.0,1,8.0,8.0,8.0,8.0,8.0,5.0,8.0,5.0,2.0,29.0,MBA,8.0,3.0,3.0,3.0,New Jersey,"7,201",2.0,4.0,1.0,Investment Banker,7.0,9.0,2.0,9.0,9.0,9.0,8.0,9.0,7.0,9.0,8.0,2.0,7.0,8.0,8.0,9.0,9.0,6.0,5.0,30.0,10.0,25.0,20.0,8.0,7.0,40.0,10.0,10.0,20.0,10.0,10.0,50.0,10.0,10.0,20.0,5.0,5.0,7.0,7.0,7.0,7.0,7.0,1,8.0,7.0,6.0,6.0,7.0,8.0,7.0,5.0,0.0,2.5,8.0,3.0,3.0,30.0,20.0,20.0,20.0,5.0,5.0,40.0,10.0,10.0,20.0,10.0,10.0,30.0,20.0,10.0,20.0,10.0,10.0,8.0,7.0,8.0,8.0,8.0
7255,491,11.0,1,22,2,19,15,13,12.0,3,5,470.0,1,0.23,0,29.0,4.0,10.0,20.0,25.0,25.0,10.0,10.0,1,7.0,6.0,8.0,5.0,5.0,4.0,7.0,5.0,2.0,29.0,MBA,8.0,3.0,3.0,3.0,New Jersey,"7,201",2.0,4.0,1.0,Investment Banker,7.0,9.0,2.0,9.0,9.0,9.0,8.0,9.0,7.0,9.0,8.0,2.0,7.0,8.0,8.0,9.0,9.0,6.0,5.0,30.0,10.0,25.0,20.0,8.0,7.0,40.0,10.0,10.0,20.0,10.0,10.0,50.0,10.0,10.0,20.0,5.0,5.0,7.0,7.0,7.0,7.0,7.0,1,8.0,7.0,7.0,8.0,8.0,6.0,7.0,6.0,0.0,2.5,8.0,3.0,3.0,30.0,20.0,20.0,20.0,5.0,5.0,40.0,10.0,10.0,20.0,10.0,10.0,30.0,20.0,10.0,20.0,10.0,10.0,8.0,7.0,8.0,8.0,8.0
7267,492,12.0,1,24,2,19,15,10,3.0,8,2,467.0,1,0.12,0,24.0,2.0,20.0,20.0,20.0,20.0,20.0,0.0,1,8.0,10.0,10.0,9.0,9.0,9.0,8.0,5.0,2.0,30.0,physics,10.0,6.0,1.0,1.0,new york,"46,205",2.0,4.0,2.0,acadeic,2.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,2.0,4.0,10.0,7.0,5.0,5.0,2.0,5.0,10.0,10.0,7.0,30.0,0.0,30.0,30.0,10.0,0.0,50.0,0.0,30.0,20.0,0.0,0.0,0.0,30.0,30.0,0.0,30.0,10.0,10.0,10.0,10.0,10.0,10.0,1,10.0,8.0,10.0,8.0,10.0,2.0,2.0,1.0,0.0,3.0,6.0,3.0,2.0,50.0,5.0,30.0,10.0,0.0,5.0,100.0,0.0,0.0,0.0,0.0,0.0,30.0,30.0,30.0,0.0,10.0,0.0,4.0,5.0,10.0,10.0,10.0
7268,492,12.0,1,24,2,19,15,6,3.0,4,3,468.0,1,0.16,1,25.0,6.0,15.0,25.0,15.0,15.0,15.0,15.0,1,9.0,8.0,8.0,8.0,8.0,8.0,7.0,6.0,2.0,30.0,physics,10.0,6.0,1.0,1.0,new york,"46,205",2.0,4.0,2.0,acadeic,2.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,2.0,4.0,10.0,7.0,5.0,5.0,2.0,5.0,10.0,10.0,7.0,30.0,0.0,30.0,30.0,10.0,0.0,50.0,0.0,30.0,20.0,0.0,0.0,0.0,30.0,30.0,0.0,30.0,10.0,10.0,10.0,10.0,10.0,10.0,1,10.0,10.0,10.0,10.0,10.0,2.0,10.0,5.0,0.0,3.0,6.0,3.0,2.0,50.0,5.0,30.0,10.0,0.0,5.0,100.0,0.0,0.0,0.0,0.0,0.0,30.0,30.0,30.0,0.0,10.0,0.0,4.0,5.0,10.0,10.0,10.0
7269,492,12.0,1,24,2,19,15,5,3.0,3,4,469.0,1,0.27,0,25.0,4.0,20.0,10.0,20.0,20.0,10.0,20.0,1,9.0,8.0,8.0,9.0,7.0,8.0,8.0,8.0,2.0,30.0,physics,10.0,6.0,1.0,1.0,new york,"46,205",2.0,4.0,2.0,acadeic,2.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,2.0,4.0,10.0,7.0,5.0,5.0,2.0,5.0,10.0,10.0,7.0,30.0,0.0,30.0,30.0,10.0,0.0,50.0,0.0,30.0,20.0,0.0,0.0,0.0,30.0,30.0,0.0,30.0,10.0,10.0,10.0,10.0,10.0,10.0,1,10.0,10.0,10.0,10.0,10.0,10.0,10.0,5.0,0.0,3.0,6.0,3.0,2.0,50.0,5.0,30.0,10.0,0.0,5.0,100.0,0.0,0.0,0.0,0.0,0.0,30.0,30.0,30.0,0.0,10.0,0.0,4.0,5.0,10.0,10.0,10.0
7272,492,12.0,1,24,2,19,15,1,3.0,14,7,472.0,1,0.12,0,25.0,3.0,10.0,25.0,25.0,20.0,10.0,10.0,1,10.0,9.0,10.0,10.0,10.0,10.0,10.0,10.0,2.0,30.0,physics,10.0,6.0,1.0,1.0,new york,"46,205",2.0,4.0,2.0,acadeic,2.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,2.0,4.0,10.0,7.0,5.0,5.0,2.0,5.0,10.0,10.0,7.0,30.0,0.0,30.0,30.0,10.0,0.0,50.0,0.0,30.0,20.0,0.0,0.0,0.0,30.0,30.0,0.0,30.0,10.0,10.0,10.0,10.0,10.0,10.0,1,8.0,10.0,10.0,2.0,8.0,1.0,8.0,1.0,0.0,3.0,6.0,3.0,2.0,50.0,5.0,30.0,10.0,0.0,5.0,100.0,0.0,0.0,0.0,0.0,0.0,30.0,30.0,30.0,0.0,10.0,0.0,4.0,5.0,10.0,10.0,10.0
7274,492,12.0,1,24,2,19,15,8,3.0,6,9,474.0,1,0.32,0,30.0,1.0,15.0,20.0,10.0,30.0,5.0,20.0,1,8.0,7.0,7.0,9.0,7.0,8.0,7.0,10.0,2.0,30.0,physics,10.0,6.0,1.0,1.0,new york,"46,205",2.0,4.0,2.0,acadeic,2.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,2.0,4.0,10.0,7.0,5.0,5.0,2.0,5.0,10.0,10.0,7.0,30.0,0.0,30.0,30.0,10.0,0.0,50.0,0.0,30.0,20.0,0.0,0.0,0.0,30.0,30.0,0.0,30.0,10.0,10.0,10.0,10.0,10.0,10.0,1,10.0,10.0,10.0,10.0,10.0,10.0,10.0,7.0,0.0,3.0,6.0,3.0,2.0,50.0,5.0,30.0,10.0,0.0,5.0,100.0,0.0,0.0,0.0,0.0,0.0,30.0,30.0,30.0,0.0,10.0,0.0,4.0,5.0,10.0,10.0,10.0
7284,493,13.0,1,25,2,19,15,5,11.0,11,4,469.0,1,0.67,1,25.0,4.0,20.0,10.0,20.0,20.0,10.0,20.0,1,9.0,9.0,7.0,8.0,5.0,8.0,8.0,8.0,2.0,20.0,Public Administration,13.0,4.0,1.0,1.0,Philippines,"1,128",5.0,6.0,5.0,politics,13.0,10.0,10.0,7.0,7.0,4.0,4.0,3.0,3.0,6.0,7.0,10.0,8.0,8.0,7.0,7.0,10.0,6.0,10.0,30.0,10.0,10.0,30.0,10.0,10.0,30.0,20.0,10.0,30.0,5.0,5.0,25.0,25.0,10.0,20.0,10.0,10.0,7.0,7.0,8.0,8.0,8.0,1,9.0,10.0,9.0,9.0,8.0,10.0,9.0,7.0,0.0,1.0,8.0,3.0,3.0,30.0,15.0,15.0,30.0,5.0,5.0,25.0,15.0,10.0,20.0,10.0,20.0,20.0,20.0,10.0,20.0,15.0,15.0,7.0,7.0,8.0,8.0,8.0
7312,495,15.0,1,29,2,19,15,10,5.0,6,2,467.0,1,-0.01,0,24.0,2.0,20.0,20.0,20.0,20.0,20.0,0.0,1,7.0,8.0,9.0,9.0,8.0,9.0,7.0,5.0,2.0,32.0,Theater,15.0,6.0,5.0,6.0,Miami,"33,184",2.0,2.0,1.0,Film,6.0,7.0,5.0,6.0,7.0,5.0,6.0,7.0,7.0,6.0,5.0,6.0,7.0,7.0,6.0,5.0,5.0,6.0,6.0,20.0,20.0,20.0,15.0,15.0,10.0,20.0,20.0,30.0,10.0,20.0,10.0,20.0,10.0,20.0,20.0,15.0,15.0,7.0,7.0,7.0,8.0,9.0,1,8.0,7.0,6.0,7.0,6.0,5.0,7.0,7.0,0.0,4.0,6.0,1.0,1.0,20.0,16.0,16.0,16.0,16.0,16.0,16.0,20.0,16.0,16.0,16.0,16.0,16.0,20.0,16.0,16.0,16.0,16.0,8.0,9.0,9.0,8.0,9.0
7315,495,15.0,1,29,2,19,15,13,5.0,9,5,470.0,1,-0.18,0,29.0,4.0,10.0,20.0,25.0,25.0,10.0,10.0,1,4.0,4.0,6.0,9.0,2.0,4.0,7.0,5.0,2.0,32.0,Theater,15.0,6.0,5.0,6.0,Miami,"33,184",2.0,2.0,1.0,Film,6.0,7.0,5.0,6.0,7.0,5.0,6.0,7.0,7.0,6.0,5.0,6.0,7.0,7.0,6.0,5.0,5.0,6.0,6.0,20.0,20.0,20.0,15.0,15.0,10.0,20.0,20.0,30.0,10.0,20.0,10.0,20.0,10.0,20.0,20.0,15.0,15.0,7.0,7.0,7.0,8.0,9.0,1,6.0,7.0,7.0,6.0,7.0,6.0,6.0,6.0,0.0,4.0,6.0,1.0,1.0,20.0,16.0,16.0,16.0,16.0,16.0,16.0,20.0,16.0,16.0,16.0,16.0,16.0,20.0,16.0,16.0,16.0,16.0,8.0,9.0,9.0,8.0,9.0
7349,499,4.0,0,6,1,20,7,3,3.0,2,4,504.0,1,0.59,1,23.0,2.0,30.0,0.0,30.0,15.0,15.0,10.0,1,5.0,8.0,7.0,6.0,8.0,5.0,6.0,5.0,2.0,26.0,Biology,10.0,2.0,1.0,9.0,New York,"10,605",5.0,4.0,1.0,Professor,2.0,1.0,1.0,1.0,9.0,9.0,9.0,2.0,1.0,8.0,9.0,6.0,8.0,10.0,10.0,10.0,5.0,1.0,4.0,19.0,19.0,19.0,19.0,5.0,19.0,50.0,5.0,8.0,20.0,8.0,9.0,60.0,6.0,6.0,20.0,1.0,7.0,9.0,10.0,9.0,10.0,4.0,1,5.0,10.0,9.0,8.0,5.0,5.0,6.0,6.0,0.0,2.0,4.0,3.0,1.0,19.0,19.0,19.0,19.0,5.0,19.0,50.0,5.0,10.0,25.0,0.0,10.0,80.0,0.0,10.0,10.0,0.0,0.0,9.0,10.0,10.0,9.0,4.0
7353,499,4.0,0,6,1,20,7,3,3.0,4,8,508.0,1,-0.06,0,36.0,4.0,18.0,10.0,18.0,18.0,18.0,18.0,1,6.0,9.0,8.0,7.0,8.0,5.0,7.0,6.0,2.0,26.0,Biology,10.0,2.0,1.0,9.0,New York,"10,605",5.0,4.0,1.0,Professor,2.0,1.0,1.0,1.0,9.0,9.0,9.0,2.0,1.0,8.0,9.0,6.0,8.0,10.0,10.0,10.0,5.0,1.0,4.0,19.0,19.0,19.0,19.0,5.0,19.0,50.0,5.0,8.0,20.0,8.0,9.0,60.0,6.0,6.0,20.0,1.0,7.0,9.0,10.0,9.0,10.0,4.0,1,6.0,8.0,10.0,8.0,6.0,6.0,7.0,6.0,0.0,2.0,4.0,3.0,1.0,19.0,19.0,19.0,19.0,5.0,19.0,50.0,5.0,10.0,25.0,0.0,10.0,80.0,0.0,10.0,10.0,0.0,0.0,9.0,10.0,10.0,9.0,4.0
7359,500,5.0,0,8,1,20,7,6,6.0,1,7,507.0,1,0.05,0,24.0,4.0,20.0,20.0,20.0,20.0,20.0,0.0,1,7.0,9.0,9.0,7.0,9.0,7.0,8.0,5.0,2.0,25.0,Epidemiology,10.0,1.0,7.0,9.0,"Kansas City, Missouri","64,129",1.0,5.0,3.0,Epidemiologist,2.0,4.0,2.0,6.0,7.0,7.0,7.0,2.0,2.0,7.0,8.0,5.0,7.0,8.0,8.0,8.0,6.0,5.0,6.0,10.0,15.0,35.0,15.0,10.0,15.0,50.0,5.0,10.0,20.0,5.0,10.0,50.0,5.0,10.0,20.0,5.0,10.0,8.0,9.0,9.0,9.0,9.0,1,8.0,7.0,8.0,8.0,7.0,6.0,6.0,7.0,0.0,1.0,3.0,3.0,1.0,40.0,5.0,40.0,5.0,5.0,5.0,70.0,5.0,5.0,10.0,5.0,5.0,70.0,5.0,5.0,10.0,5.0,5.0,8.0,8.0,9.0,8.0,9.0
7363,501,6.0,0,10,1,20,7,1,1.0,7,4,504.0,1,0.61,1,23.0,2.0,30.0,0.0,30.0,15.0,15.0,10.0,1,6.0,6.0,6.0,6.0,6.0,6.0,5.0,5.0,2.0,26.0,epidemiology,10.0,2.0,7.0,4.0,Upstate New York,"12,603",5.0,4.0,3.0,epidemiologist,2.0,5.0,4.0,8.0,8.0,9.0,9.0,6.0,1.0,3.0,9.0,7.0,9.0,9.0,9.0,10.0,7.0,6.0,7.0,30.0,10.0,20.0,10.0,10.0,20.0,40.0,10.0,10.0,20.0,5.0,15.0,40.0,15.0,5.0,30.0,5.0,5.0,8.0,9.0,8.0,9.0,9.0,1,8.0,8.0,7.0,8.0,7.0,8.0,9.0,8.0,0.0,1.0,5.0,3.0,1.0,30.0,10.0,20.0,10.0,10.0,20.0,30.0,10.0,10.0,10.0,10.0,30.0,50.0,10.0,5.0,15.0,5.0,15.0,8.0,8.0,8.0,8.0,9.0
7383,504,4.0,1,7,1,20,6,3,2.0,2,4,499.0,1,0.59,1,26.0,2.0,19.0,19.0,19.0,19.0,5.0,19.0,1,5.0,10.0,9.0,8.0,5.0,5.0,6.0,6.0,2.0,23.0,Computer Science,5.0,2.0,1.0,1.0,Maryland,"20,782",2.0,5.0,2.0,consultant,7.0,1.0,1.0,2.0,4.0,4.0,4.0,8.0,1.0,3.0,6.0,1.0,5.0,6.0,7.0,7.0,3.0,1.0,7.0,30.0,0.0,30.0,15.0,15.0,10.0,50.0,10.0,10.0,20.0,0.0,10.0,30.0,10.0,10.0,20.0,20.0,10.0,7.0,5.0,6.0,8.0,8.0,1,5.0,8.0,7.0,6.0,8.0,5.0,6.0,5.0,0.0,3.0,2.0,1.0,1.0,40.0,0.0,40.0,10.0,0.0,10.0,50.0,0.0,10.0,40.0,0.0,0.0,30.0,20.0,20.0,20.0,5.0,5.0,7.0,7.0,7.0,7.0,7.0
7385,504,4.0,1,7,1,20,6,1,2.0,6,6,501.0,1,0.61,1,26.0,2.0,30.0,10.0,20.0,10.0,10.0,20.0,1,8.0,8.0,7.0,8.0,7.0,8.0,9.0,8.0,2.0,23.0,Computer Science,5.0,2.0,1.0,1.0,Maryland,"20,782",2.0,5.0,2.0,consultant,7.0,1.0,1.0,2.0,4.0,4.0,4.0,8.0,1.0,3.0,6.0,1.0,5.0,6.0,7.0,7.0,3.0,1.0,7.0,30.0,0.0,30.0,15.0,15.0,10.0,50.0,10.0,10.0,20.0,0.0,10.0,30.0,10.0,10.0,20.0,20.0,10.0,7.0,5.0,6.0,8.0,8.0,1,6.0,6.0,6.0,6.0,6.0,6.0,5.0,5.0,0.0,3.0,2.0,1.0,1.0,40.0,0.0,40.0,10.0,0.0,10.0,50.0,0.0,10.0,40.0,0.0,0.0,30.0,20.0,20.0,20.0,5.0,5.0,7.0,7.0,7.0,7.0,7.0
7402,507,7.0,1,12,1,20,6,6,6.0,1,5,500.0,1,0.05,0,25.0,1.0,10.0,15.0,35.0,15.0,10.0,15.0,1,8.0,7.0,8.0,8.0,7.0,6.0,6.0,7.0,2.0,24.0,Statistics,2.0,4.0,1.0,1.0,Florida,"32,304",5.0,7.0,3.0,Epidemiologist,2.0,10.0,9.0,10.0,9.0,9.0,8.0,7.0,4.0,5.0,8.0,5.0,7.0,6.0,6.0,8.0,3.0,2.0,5.0,20.0,20.0,20.0,20.0,20.0,0.0,35.0,10.0,20.0,20.0,5.0,10.0,30.0,10.0,10.0,30.0,10.0,10.0,7.0,8.0,7.0,8.0,7.0,1,7.0,9.0,9.0,7.0,9.0,7.0,8.0,5.0,0.0,0.0,4.0,1.0,3.0,20.0,20.0,20.0,20.0,10.0,10.0,35.0,10.0,30.0,10.0,5.0,10.0,40.0,10.0,20.0,20.0,5.0,5.0,7.0,9.0,8.0,7.0,6.0
7407,508,8.0,1,13,1,20,6,3,7.0,3,4,499.0,1,-0.06,0,26.0,2.0,19.0,19.0,19.0,19.0,5.0,19.0,1,6.0,8.0,10.0,8.0,6.0,6.0,7.0,6.0,2.0,36.0,math of finance,2.0,4.0,1.0,5.0,New York,"10,804",3.0,5.0,1.0,unsure,10.0,10.0,4.0,7.0,6.0,4.0,4.0,4.0,9.0,7.0,10.0,3.0,5.0,4.0,7.0,10.0,4.0,8.0,7.0,18.0,10.0,18.0,18.0,18.0,18.0,35.0,10.0,10.0,25.0,10.0,10.0,15.0,20.0,20.0,20.0,15.0,10.0,7.0,8.0,8.0,9.0,8.0,1,6.0,9.0,8.0,7.0,8.0,5.0,7.0,6.0,0.0,3.0,6.0,1.0,1.0,18.0,10.0,18.0,18.0,18.0,18.0,25.0,10.0,10.0,25.0,10.0,20.0,17.0,20.0,15.0,20.0,18.0,10.0,8.0,8.0,9.0,8.0,9.0
7414,509,1.0,0,1,2,21,22,21,21.0,4,5,535.0,1,0.39,0,23.0,2.0,23.0,14.0,19.0,16.0,10.0,18.0,1,6.0,8.0,8.0,6.0,7.0,6.0,7.0,5.0,2.0,28.0,journalism,6.0,4.0,2.0,2.0,working,"10,594",2.0,4.0,2.0,journalism,16.0,6.0,3.0,6.0,7.0,7.0,7.0,3.0,3.0,4.0,6.0,4.0,4.0,8.0,5.0,7.0,7.0,7.0,6.0,10.0,20.0,30.0,10.0,10.0,20.0,50.0,10.0,10.0,10.0,10.0,10.0,50.0,10.0,10.0,10.0,10.0,10.0,5.0,6.0,4.0,8.0,9.0,1,3.0,7.0,6.0,6.0,5.0,4.0,5.0,4.0,0.0,0.0,5.0,1.0,2.0,10.0,20.0,10.0,20.0,10.0,30.0,50.0,10.0,10.0,20.0,5.0,5.0,70.0,5.0,5.0,10.0,5.0,5.0,3.0,3.0,7.0,2.0,7.0
7417,509,1.0,0,1,2,21,22,21,21.0,14,8,538.0,1,0.36,0,32.0,2.0,50.0,0.0,10.0,30.0,0.0,10.0,1,7.0,7.0,9.0,8.0,7.0,8.0,8.0,10.0,2.0,28.0,journalism,6.0,4.0,2.0,2.0,working,"10,594",2.0,4.0,2.0,journalism,16.0,6.0,3.0,6.0,7.0,7.0,7.0,3.0,3.0,4.0,6.0,4.0,4.0,8.0,5.0,7.0,7.0,7.0,6.0,10.0,20.0,30.0,10.0,10.0,20.0,50.0,10.0,10.0,10.0,10.0,10.0,50.0,10.0,10.0,10.0,10.0,10.0,5.0,6.0,4.0,8.0,9.0,1,6.0,5.0,6.0,7.0,7.0,6.0,5.0,0.0,0.0,0.0,5.0,1.0,2.0,10.0,20.0,10.0,20.0,10.0,30.0,50.0,10.0,10.0,20.0,5.0,5.0,70.0,5.0,5.0,10.0,5.0,5.0,3.0,3.0,7.0,2.0,7.0
7425,509,1.0,0,1,2,21,22,21,21.0,22,16,546.0,1,0.52,0,30.0,2.0,35.0,10.0,20.0,25.0,5.0,5.0,1,6.0,6.0,6.0,6.0,6.0,7.0,6.0,6.0,2.0,28.0,journalism,6.0,4.0,2.0,2.0,working,"10,594",2.0,4.0,2.0,journalism,16.0,6.0,3.0,6.0,7.0,7.0,7.0,3.0,3.0,4.0,6.0,4.0,4.0,8.0,5.0,7.0,7.0,7.0,6.0,10.0,20.0,30.0,10.0,10.0,20.0,50.0,10.0,10.0,10.0,10.0,10.0,50.0,10.0,10.0,10.0,10.0,10.0,5.0,6.0,4.0,8.0,9.0,1,7.0,3.0,6.0,7.0,6.0,3.0,7.0,2.0,0.0,0.0,5.0,1.0,2.0,10.0,20.0,10.0,20.0,10.0,30.0,50.0,10.0,10.0,20.0,5.0,5.0,70.0,5.0,5.0,10.0,5.0,5.0,3.0,3.0,7.0,2.0,7.0
7427,509,1.0,0,1,2,21,22,21,21.0,13,18,548.0,1,0.23,0,30.0,2.0,40.0,10.0,20.0,10.0,0.0,20.0,1,5.0,5.0,7.0,7.0,7.0,9.0,6.0,7.0,2.0,28.0,journalism,6.0,4.0,2.0,2.0,working,"10,594",2.0,4.0,2.0,journalism,16.0,6.0,3.0,6.0,7.0,7.0,7.0,3.0,3.0,4.0,6.0,4.0,4.0,8.0,5.0,7.0,7.0,7.0,6.0,10.0,20.0,30.0,10.0,10.0,20.0,50.0,10.0,10.0,10.0,10.0,10.0,50.0,10.0,10.0,10.0,10.0,10.0,5.0,6.0,4.0,8.0,9.0,1,8.0,5.0,8.0,6.0,8.0,5.0,5.0,2.0,0.0,0.0,5.0,1.0,2.0,10.0,20.0,10.0,20.0,10.0,30.0,50.0,10.0,10.0,20.0,5.0,5.0,70.0,5.0,5.0,10.0,5.0,5.0,3.0,3.0,7.0,2.0,7.0
7458,511,3.0,0,5,2,21,22,15,15.0,20,5,535.0,1,0.24,0,23.0,2.0,23.0,14.0,19.0,16.0,10.0,18.0,1,7.0,7.0,8.0,7.0,6.0,6.0,6.0,6.0,2.0,23.0,Electrical Engineering,5.0,4.0,2.0,2.0,India,"395,001",2.0,7.0,3.0,Business Management and Information Technology,7.0,6.0,5.0,5.0,7.0,8.0,10.0,10.0,3.0,9.0,8.0,5.0,8.0,9.0,9.0,10.0,7.0,8.0,6.0,20.0,10.0,10.0,30.0,15.0,15.0,60.0,5.0,10.0,10.0,5.0,10.0,60.0,5.0,10.0,10.0,5.0,10.0,8.0,4.0,10.0,8.0,8.0,1,6.0,4.0,6.0,6.0,5.0,5.0,6.0,6.0,0.0,10.0,6.0,1.0,2.0,20.0,10.0,10.0,20.0,20.0,20.0,30.0,10.0,20.0,20.0,10.0,10.0,40.0,5.0,10.0,20.0,5.0,20.0,8.0,7.0,8.0,9.0,9.0
7465,511,3.0,0,5,2,21,22,15,15.0,10,12,542.0,1,-0.03,1,23.0,4.0,25.0,15.0,20.0,20.0,10.0,10.0,1,4.0,5.0,8.0,6.0,7.0,9.0,6.0,8.0,2.0,23.0,Electrical Engineering,5.0,4.0,2.0,2.0,India,"395,001",2.0,7.0,3.0,Business Management and Information Technology,7.0,6.0,5.0,5.0,7.0,8.0,10.0,10.0,3.0,9.0,8.0,5.0,8.0,9.0,9.0,10.0,7.0,8.0,6.0,20.0,10.0,10.0,30.0,15.0,15.0,60.0,5.0,10.0,10.0,5.0,10.0,60.0,5.0,10.0,10.0,5.0,10.0,8.0,4.0,10.0,8.0,8.0,1,4.0,4.0,5.0,4.0,2.0,2.0,3.0,5.0,0.0,10.0,6.0,1.0,2.0,20.0,10.0,10.0,20.0,20.0,20.0,30.0,10.0,20.0,20.0,10.0,10.0,40.0,5.0,10.0,20.0,5.0,20.0,8.0,7.0,8.0,9.0,9.0
7471,511,3.0,0,5,2,21,22,15,15.0,7,18,548.0,1,-0.2,0,30.0,2.0,40.0,10.0,20.0,10.0,0.0,20.0,1,9.0,9.0,9.0,5.0,8.0,5.0,7.0,7.0,2.0,23.0,Electrical Engineering,5.0,4.0,2.0,2.0,India,"395,001",2.0,7.0,3.0,Business Management and Information Technology,7.0,6.0,5.0,5.0,7.0,8.0,10.0,10.0,3.0,9.0,8.0,5.0,8.0,9.0,9.0,10.0,7.0,8.0,6.0,20.0,10.0,10.0,30.0,15.0,15.0,60.0,5.0,10.0,10.0,5.0,10.0,60.0,5.0,10.0,10.0,5.0,10.0,8.0,4.0,10.0,8.0,8.0,1,5.0,3.0,5.0,5.0,2.0,2.0,4.0,4.0,0.0,10.0,6.0,1.0,2.0,20.0,10.0,10.0,20.0,20.0,20.0,30.0,10.0,20.0,20.0,10.0,10.0,40.0,5.0,10.0,20.0,5.0,20.0,8.0,7.0,8.0,9.0,9.0
